line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables
lune décroissante ~,un petit coup d'œil,à la jauge d'essence ,tempslibre,5,5,6
équinoxe d'automne ~,sur la tasse ébréchée ,ma main tachetée ,tempslibre,6,5,5
quelle fournaise!,les robes entrouvertes,des amandes ,tempslibre,5,7,4
herbe sèche ~,le vieil homme au frais,sous la dalle ,tempslibre,3,6,4
aïd el idhha* ~,le chant furtif,de la cigale ,tempslibre,4,4,5
borj* en ruine ~,des années de pissenlits,sur les toits  ,tempslibre,4,7,3
lune croissante ~,elle agrandit les trous,de son jean ,tempslibre,5,7,3
l'escargot,au fin fond de la salade ~,sirocco ,tempslibre,3,8,3
le papillon,se hâte vers je ne sais où ~,rumeurs d'orage ,tempslibre,4,7,5
chants de l'aube ~,la dernière étoile,dans la boîte à biscuits ,tempslibre,4,6,6
muezzin du iîcha* ~,le clap de fin,du merle  ,tempslibre,5,4,3
troisième café ~,l'hystérie,du merle ,tempslibre,4,2,3
nuages de poussière ~,l'ami lointain annonce,ses métastases ,tempslibre,7,7,4
le doux cliquetis,d'un chapelet* ~,colonne de chars ,tempslibre,5,4,5
pluie de pétales~,là bas des lâchers,de bombes ,tempslibre,4,3,3
sirènes de raids~,les bourgeons d'orangers,résolument fermés ,tempslibre,4,6,4
la lente ébullition,du café dans le cezve*~,lune bombée  ,tempslibre,6,6,4
muezzin retentissant ~,un couvercle,sur le couscoussier ,tempslibre,6,4,5
nouvelles du front ~,j'hésite à ouvrir,une sakasli* ,tempslibre,5,4,5
la dernière bergamote,cachée dans le feuillage ~,lune des Nuits Noires* ,tempslibre,8,7,6
dernières étoiles ~,les graines de grenade,dans le zammit* ,tempslibre,5,7,4
muezzin* du couchant ~,le merle,dans le bougainvillier ,tempslibre,5,3,6
mince croissant de l'aube ~,du carafon d'huile ,les dernières gouttes ,tempslibre,7,6,6
les derniers fêtards,quittent le bar de plage ~,muezzin* de l'aube ,tempslibre,4,7,5
l'escalier à l'aller ,l'ascenseur au retour ~,équinoxe d'automne ,tempslibre,5,6,6
les notes d'un luth,s'élèvent du jardin voisin ~,brise du soir ,tempslibre,5,6,4
couvre-feu ~,un petit vent trahit,une noce ,tempslibre,3,6,4
couvre-feu allégé ~,prolonger encore un peu,la cuisson du pain ,tempslibre,4,8,5
le fracas ,d'un portail à l'aube ~,solstice d'été ,tempslibre,3,5,3
solstice d'été~,flirtant avec les chevilles ,sa robe bleue ,tempslibre,3,8,4
canicule ~,les craquements,d'une pastèque ,tempslibre,4,4,4
la fugue du chat -,n'aura duré qu'un quart d'heure ~,mince croissant de lune ,tempslibre,5,8,7
hausse des prix ~,les sorra* foisonnent,sur mon café  ,tempslibre,4,6,3
temps des vaccins~,les abricots piquetés,de rouge ,tempslibre,4,6,3
restrictions assouplies~,une pluie de z'har*,sur le café ,tempslibre,6,5,3
croissant de l'aïd ~,une goutte d'eau de fleurs d'oranger,dans le café ,tempslibre,4,10,3
confinement en vue~,les liserons à l'assaut ,du trottoir ,tempslibre,6,6,3
muezzin du moghreb*~,trois chats têtes,dans les gamelles ,tempslibre,5,3,5
quatre feux,et la machine à pain ~,pluie battante ,tempslibre,3,6,4
matin de ramadan ~,dans toutes les bouches,le dîner ,tempslibre,6,6,2
premiers vaccins~,sortie enfin du placard ,la machine à coudre ,tempslibre,4,7,6
herbe grasse~,les dents aiguisées,d'une pelleteuse ,tempslibre,4,5,6
muezzin de l'aube~,le merle en mode,haut parleur  ,tempslibre,5,6,3
aube froide ~,"coq, muezzin et cafetière",à l'unisson ,tempslibre,4,8,3
long confinement~,la sorra* sur le café,prête à éclater ,tempslibre,5,6,3
un bol de soupe,puis un autre et un autre~,pluie glaciale ,tempslibre,5,8,4
étoiles de l'aube~,ces graines de capucine mises en terre,l'une après l'autre ,tempslibre,5,13,5
étoile du matin~,la tige dressée d'une graine,de capucine ,tempslibre,5,9,5
un bourdon,tombé sur le dos~,premier jour d'hiver ,tempslibre,3,4,5
grand ciel d'automne~,six fenêtres ouvertes,sur mon PC ,tempslibre,5,6,2
pluie diluvienne~,copieuuuuusement le chocolat,sur les choux ,tempslibre,5,8,3
un bout de beurre,dans le ventre de chaque datte~,lumière d'automne ,tempslibre,5,9,6
siège social~,d'ascenseur en ascenseur,la guerre des parfums ,tempslibre,4,7,6
armistice~,le bras replié,d'une pelleteuse ,tempslibre,4,4,6
chaleur d'Octobre~,sur mes lèvres le feu,d'un piment ,tempslibre,5,5,3
brume d'automne~,l'impression qu'il manque quelque chose,dans la liste de courses ,tempslibre,5,11,7
ma vie de retraitée~,la lente ébullition du café,dans le cezve ,tempslibre,6,8,4
aube d'automne~,juste un parfum oublié,dans l'ascenseur ,tempslibre,5,7,4
nouvel attentat~,au fond du jardin les grenades,rougissantes ,tempslibre,5,9,4
nouveau gouvernement~,sur les tomates,la grosse mouche rôde ,tempslibre,6,5,6
de chaque jardin,s'échappe un bruit de sécateur~,fin de l'été ,tempslibre,5,7,2
demi lune~,les deux chattes se disputent,un papillon de nuit ,tempslibre,4,8,6
Café des Délices*~,le rituel thé à la menthe,et la deuxième vague ,tempslibre,4,6,7
soirée sans lune~,la vadrouille,d'un sachet blanc ,tempslibre,5,4,4
jusqu'à la dernière goutte,mon café cezve*~,lune du matin ,tempslibre,8,4,5
retrouvailles~,le jasmin déborde,de la clôture,tempslibre,4,5,4
déconfinement~,le printemps tassé,dans des sacs poubelles,tempslibre,4,4,6
déconfinement~,une armée de mâles autour,de la chatte du coin ,tempslibre,4,8,6
matin de Ramadhan~,sur toutes les lèvres,le dîner ,tempslibre,6,5,2
heure du s'hour~,de tous ses chiens,la rue aboie ,tempslibre,4,4,4
confinement~,du papillon je n'ai vu,que l'ombre ,tempslibre,4,7,3
quarantaine~,la ronde d'inspection,du papillon ,tempslibre,4,6,4
vent frais de Mars~,l'odeur entêtante,de l'asphalte ,tempslibre,4,5,4
oignons de printemps~,le couteau,hésite ,tempslibre,5,3,2
averse de grêle~,trois gouttes d'eau de fleurs d'oranger,dans mon café ,tempslibre,5,9,3
deux soleils,dans le dessin de l'enfant~,les jours rallongent ,tempslibre,3,7,5
thé entre,vieilles copines~,rumeurs de printemps ,tempslibre,2,5,5
premier café~,l'odeur du nouveau,calendrier ,tempslibre,3,5,3
lisant,des haïkus de maîtres~,ciel pur de Janvier ,tempslibre,2,6,5
Dimanche froid~,une escapade dans le vieux,carnet de cuisine ,tempslibre,4,9,6
sortant les poubelles,un soir froid~,étoile éblouissante ,tempslibre,6,3,5
lune d'hiver~,il fut un temps où mes mains,étaient si blanches ,tempslibre,4,7,4
le rythme effréné,du lave-linge~,dernier de l'an ,tempslibre,4,5,4
quelques pièces,manquent encore au puzzle~,dernières heures de l'année ,tempslibre,4,8,8
lune des longues nuits~,insatiable,la chatte blanche ,tempslibre,6,4,5
matin brumeux~,le tonnerre,de deux cafetières ,tempslibre,4,4,6
la goutte d'huile,sur la nappe~,lune croissante ,tempslibre,5,4,5
Novembre finissant~,partie pour durer l'odeur de clémentine,sous mes ongles ,tempslibre,6,11,4
pluie d'automne~,l'odeur de l'aneth,dans le couscoussier ,tempslibre,4,5,5
ciel incertain~ , - le démarrage hésitant - ,du lave-linge ,tempslibre,4,6,5
soir sans lune~,la rondeur parfaite,du pain noir ,tempslibre,4,6,3
marché bondé~,trois grenades planquées,entre les oranges ,tempslibre,2,7,6
chaude journée d'Octobre~,la jupe entrouverte,d'une salade iceberg ,tempslibre,7,7,8
l'odeur,du pain qui lève~,grillons de l'aube ,tempslibre,2,4,5
lecture lente~,le chuchotis de la pluie,sur le jasmin ,tempslibre,5,7,4
écho de dispute~,au fond du jardin les grenades,éclatées ,tempslibre,5,9,2
dernier de Septembre~,l'odeur des braises,qu'on éteint ,tempslibre,6,5,3
le juste poids,sur la balance sous mes pieds~,équinoxe d'automne ,tempslibre,4,8,6
l'odeur de melon,s'échappe de la cave~,lune du matin ,tempslibre,5,6,5
la douceur,de la figue noire dans ma bouche~,soir sans lune ,tempslibre,3,10,4
matin de l'aïd~,plaqué au mur un moustique,gonflé de sang ,tempslibre,4,8,3
le tintement,de la vaisselle qu'on range~,cigale du soir ,tempslibre,4,9,5
balade du soir~,au niveau des jasmins nos ombres,un peu plus lentes ,tempslibre,5,9,5
brume de chaleur-,l'odeur de melon,dans le blender ,tempslibre,5,5,4
ciel bas-,le vendeur empile,ses citrons ,tempslibre,2,6,3
sortie d'usine-,le pissenlit lâche,ses aigrettes ,tempslibre,5,5,4
la surface luisante,de la tarte au chocolat~,nouvelle lune ,tempslibre,7,8,5
soir sans lune-,une autre couche de chocolat,sur la crêpe ,tempslibre,4,10,3
matin brumeux-,mon pamplemousse barbouillé,de sucre ,tempslibre,4,7,3
heure d'été-,j'allège mon haïku,d'une ligne ,tempslibre,2,5,4
douceur du printemps~,les ongles multicolores,de la kiné ,tempslibre,5,8,3
premiers beaux jours~,une fève s'échappe,de la gousse ,tempslibre,4,5,4
la petite cave,déborde de bocaux~,lune de jour ,tempslibre,6,5,4
passant repassant,la brosse dans ses cheveux-,lune pleine ,tempslibre,5,7,4
terrasse de café-,les traces de rouge sur la paille,de la niquabée ,tempslibre,5,10,5
soir froid-,l'odeur du smen,dans le riz ,tempslibre,2,4,3
nuit sans lune~,combien de papillons morts,pour cette ampoule! ,tempslibre,4,7,6
tarawih*~,que de papillons sacrifiés,pour ce lustre! ,tempslibre,3,8,4
pour mijoter,la mloukhia a tout son temps-,Dimanche froid ,tempslibre,4,7,4
un bol de soupe,puis un autre-,pluie froide,tempslibre,5,4,3
fête de la révolution-,barbouillé de nuages,l'arc-en-ciel ,tempslibre,6,5,3
nouvelle année-,libérer un peu de place,dans la cave ,tempslibre,5,7,4
la lente balade,du soleil dans le salon~,envie de paresse,tempslibre,6,7,6
jour trop court~,jusqu'au fond des placards,le soleil ,tempslibre,3,7,3
fin de l'année~,quelques pièces manquent encore,au puzzle ,tempslibre,4,9,3
oranges pressées~,le quartier de lune,traîne un peu ,tempslibre,5,6,4
l'ancienne anarchiste,deux mèches rebelles dépassent,de son foulard ,tempslibre,7,7,4
enfants yemenites-,la lente agonie,des fleurs d'agaves ,tempslibre,6,6,5
une poignée,de lentilles sur la salade-,Géminides ,tempslibre,4,9,3
automne profond~,nichée sur mes doigts l'odeur,de mandarine ,tempslibre,5,7,5
pluie fine~,une pincée de muscade,dans la soupe de citrouille ,tempslibre,3,8,8
dîner entre amis~,l'amertume,d'un pépin de citron ,tempslibre,5,4,5
gelée matinale~,le chant des cueilleuses d'olives,autour du feu ,tempslibre,6,9,4
trois niqabées*,se pressent vers la mosquée~,black friday ,tempslibre,4,8,3
jour trop court~,un bouquet de blettes dépasse,du couffin*,tempslibre,3,8,3
première flambée~,le croquant du pain d'orge,dans la tbikha* ,tempslibre,5,7,4
miroir d'automne-,pas encore,ma mère ,tempslibre,5,4,2
brumaille d'Octobre-,une touche d'harissa,sur les œufs brouillés ,tempslibre,6,7,4
matin radieux d'automne~,un soupçon de je ne sais quoi,dans le café ,tempslibre,7,8,3
brume du matin,du pain chaud,pour l'huile nouvelle ,tempslibre,5,3,6
lumière d'Octobre~,mes doigts noircis,par les grenades ,tempslibre,6,4,5
un voile de sucre,sur le pamplemousse~,soleil brumeux ,tempslibre,6,6,4
soleil déclinant-,dans ma bouche l'amertume,d'un pamplemousse ,tempslibre,4,8,5
l'odeur de pain,emplit la bourgade~,lune de l'aube ,tempslibre,4,6,5
légères vibrations,de la balance sous mes pieds-,bientôt l'équinoxe ,tempslibre,4,8,4
voix d'automne~,l'écho lointain,d'une flûte ,tempslibre,4,3,3
soleil fuyant-,un peu plus de safran,dans le riz ,tempslibre,3,6,3
matin de l'Aïd~,figé au sol un moustique,gonflé de sang ,tempslibre,4,7,3
crépuscule d'été~,l'odeur des braises,qu'on éteint ,tempslibre,3,5,3
marées montantes-,la blancheur du linge,sur les toits,tempslibre,5,6,3
potager du matin~,croquer les concombres,sans les laver ,tempslibre,6,6,4
un scorpion,se hâte dans le patio-,sirocco ,tempslibre,3,6,3
salle d'attente du cardio~,la guerre,à portée de main ,tempslibre,8,3,4
nuit sans lune~,la blancheur de la boule,de sorbet ,tempslibre,4,7,3
jour de feu-,deux enfants,dans une bassine ,tempslibre,3,3,6
canicule-,on suffoque,chez le glacier ,tempslibre,4,4,4
clair de lune-,des glaces,de tous les parfums ,tempslibre,4,3,5
aube nue~,deux tractopelles ramassent,la plage ,tempslibre,3,8,3
pluie intermittente~,si près si loin,le grillon ,tempslibre,6,3,3
tas d'herbes sèches~,le printemps ,dans un sac poubelle ,tempslibre,4,3,6
me penchant,sur le premier jasmin~,lune pleine ,tempslibre,3,6,4
matin brumeux~,une rondelle de citron flotte,sur mon thé ,tempslibre,4,10,2
muezzin de l'aube-,les ronrons du chat,dans mon oreille ,tempslibre,5,5,5
un bol de soupe,puis un autre~,soir froid de Mars ,tempslibre,5,4,4
les jours rallongent-,dans les rangs de fèves,s'attarder un peu ,tempslibre,5,5,5
balade à la médina~,de ruelle en impasse,ma fille hâte le pas ,tempslibre,6,7,6
ce soir,je n'ai pas d'âge~,lune d'équinoxe ,tempslibre,2,4,5
sans arrêt,sourit le bébé~,arums des prairies ,tempslibre,2,3,5
école de campagne-,attachés à un arbre,deux ânes attendent ,tempslibre,6,5,5
lune à l'horizon~,la dernière poule,sur le perchoir ,tempslibre,5,6,4
jour froid,l'odeur de praline emplit,le souk,tempslibre,2,8,2
ah ce jour d'été,où me prit soudain une envie,de loukoum ! ,tempslibre,3,9,3
loukoum fondant~,le jerbi* n'a en bouche,que son île natale ,tempslibre,4,7,6
froid piquant~,une noix de crème fraîche ,dans la soupe d'ortie ,tempslibre,3,7,6
jour de neige~,mes joues rougies,par le four ,tempslibre,4,4,3
touffeur~,pour faire mûrir les grenades,dit-il ,tempslibre,2,8,2
matin brumeux~,l'odeur d'encens remonte,les escaliers ,tempslibre,4,7,4
les jours rallongent~,de plus en plus hautes,les orties ,tempslibre,5,6,3
aube du nouvel an~,le cri retentissant,du muezzin,tempslibre,6,6,3
matin du nouvel an~,sur ses lèvres,le rouge de la veille ,tempslibre,6,3,7
lune du nouvel an~,le conseil des chats,autour des poubelles ,tempslibre,6,5,6
première lune~,elle range le linge,de l'an passé ,tempslibre,5,7,3
grosse lune du loup~,quartier après quartier le panier,de sanguines ,tempslibre,6,8,4
longue nuit d'hiver~,de fenêtre en fenêtre,la lune,tempslibre,5,6,3
mince croissant de lune~,la voix du muezzin se perd,dans l'embouteillage ,tempslibre,7,7,6
jour le plus court~,la lente balade du soleil,dans le salon ,tempslibre,4,9,4
soleil pâle~,l'odeur du safran,dans la paella ,tempslibre,3,5,4
le burnous* de mon père,sur les épaules de mon neveu~,nouvelle année,tempslibre,6,8,5
lune froide~,à petit feu,l'assida blanche* ,tempslibre,4,3,5
l'hiver à grand pas~,dans la rue de plus en plus,de foulards ,tempslibre,4,7,3
matin gris,mais cet oeuf,dans la poêle ,tempslibre,3,3,4
jours courts~,ma place au soleil,dans la bibliothèque ,tempslibre,2,6,5
un voile de sucre ,sur le pamplemousse rose~,soleil sous la brume ,tempslibre,6,8,6
pluie froide~,une heure à épaissir l'assida,à feu doux ,tempslibre,3,9,2
nuit froide~,la douce berceuse,de la machine à coudre ,tempslibre,3,6,7
un pamplemousse rose,pour chasser le blues~,lune de l'aube ,tempslibre,7,5,5
premières gelées~,l'odeur de la muscade,dans le gratin ,tempslibre,5,7,4
siège social~,d'étage en étage la guerre,des parfums ,tempslibre,4,8,3
premiers froids~,dans chaque graine de bourghoul*,le goût de braise ,tempslibre,3,8,5
chuchotis de cocotte~,loin si loin le temps du bourghoul*,au feu de braise ,tempslibre,7,8,5
deux bottes de blettes,dans le tchich* ~,jour pluvieux ,tempslibre,6,3,3
le jour décline~,l'absence du chat,plus pesante ,tempslibre,4,5,4
brouillard épais~,le bruit des olives qui tombent,sur la bâche,tempslibre,3,9,3
lune croissante~,la voisine de nouveau,enceinte ,tempslibre,5,7,3
brouillard d'automne~,une vague connaissance,dans la nécrologie ,tempslibre,5,8,5
heure d'hiver~,un peu plus de chocolat,dans les muffins ,tempslibre,4,7,4
douceur d'Octobre~,le soleil fume ,dans la tasse de thé,tempslibre,5,5,5
plage d'automne~,l'acharnement des mouettes,sur une carcasse ,tempslibre,5,7,6
matin solitaire~,sur la tête du chat un mélange,de parfums ,tempslibre,6,8,3
longue nuit d'automne~,les profonds soupirs du chat ,dans mon oreille ,tempslibre,6,7,5
sous l'arbre vert,ramassant des figues sèches~,jour d'équinoxe ,tempslibre,4,7,4
lune ronde,à la porte la vieille égrène,son chapelet ,tempslibre,4,7,4
jour de rentrée~,le silence tombe ,sur le mûrier ,tempslibre,4,6,3
matin d'Aïd~,le rouge sang,des grenades ,tempslibre,3,4,4
lune voilée~,si brillants les yeux,du chat mort ,tempslibre,4,5,3
premiers frissons~,j'enterre le chat,dans ma robe d'été ,tempslibre,4,5,4
heure de sortie~,la conférence des cheveux blancs,devant les grilles ,tempslibre,5,8,5
le vent de nuit,serpente dans les ruelles~,querelles de chats ,tempslibre,4,7,5
pluie de fin d'été~,tous ces vieux objets,dans la cave ,tempslibre,3,5,4
herbe sèche~,toutes ces folies,que je n'ai pas faites ,tempslibre,3,5,6
ciel étoilé~,deux noces se disputent,le soir ,tempslibre,2,7,2
midi d'août~,le soleil mijote au fond,de la cocotte ,tempslibre,3,8,5
la jeune piqueuse,couchée sur sa machine connait-elle,Zalando! ,tempslibre,6,11,3
je tonds la pelouse~,l'ombre du palmier a déjà,franchi la clôture ,tempslibre,6,6,5
rien ne bouge,même pas les robes légères,sur la corde ,tempslibre,4,6,4
éclipse partielle~,le vieux chat,titubant ,tempslibre,5,3,3
conflit~,le garçon piétine l'ombre,de son père,tempslibre,2,8,3
Aube sur la vallée-,le chant des cueilleuses d'abricots,transperce la brume ,tempslibre,6,9,6
fenêtre sur vallée-,l'odeur de melon transperce,la nuit,tempslibre,5,8,2
soleil de Juillet-,tout l'hiver,sur la corde à linge ,tempslibre,5,3,6
fraîcheur de Juin,deux feuilles de menthe,dans la limonade ,tempslibre,4,6,6
marché de campagne~,le vent dans les fleurs,de sa robe ,tempslibre,5,5,4
bouquet de roses~,sur sa robe blanche,quelques gouttes de vin ,tempslibre,5,6,6
vieux puits~,avec le seau remonte,une ancienne douleur ,tempslibre,2,7,7
averse de juillet~,quelques gouttes d'eau de fleurs d'oranger,dans mon café ,tempslibre,6,10,3
pas un souffle,dans l'immense plaine~,étoiles filantes ,tempslibre,4,6,5
matin de juillet-,le coton parade,dans le ciel bleu ,tempslibre,5,6,4
amandes amères~,la plus joyeuse de écaleuses d'amandes,n'a plus de nez ,tempslibre,5,11,4
heure de la sieste~,dans la rue se pressent une niquabée*,et son ombre ,tempslibre,6,11,4
fraîcheur du matin,collé à l'interrupteur,un papillon de nuit,tempslibre,5,5,6
fenêtre ouverte ,un papillon sur la rose,du canapé ,tempslibre,5,8,3
rivière à sec~,au loin le tintement des seaux,autour des puits ,tempslibre,4,8,4
souks de la medina,entre encens et épices,me frayer un chemin ,tempslibre,6,7,5
souks de la médina~,dans chaque boutique,le salut d'un chat ,tempslibre,5,6,5
sondant mon puits~,cerf-volant ,au vent ,tempslibre,4,3,2
soif de Ramadhan~,les étals débordent,de parfum ,tempslibre,5,4,3
fardés poudrés,les abricots racolent,dans le verger ,tempslibre,2,7,4
foule au souk,les abricots en cageots,suffoquent ,tempslibre,4,7,3
soir d'hiver,dans la foule un inconnu,que je connais ,tempslibre,3,8,4
canicule~,dans le mûrier chuchotent,les moineaux ,tempslibre,4,6,3
ciel gris,trois nouvelles étoiles,sur le jasmin ,tempslibre,2,6,4
pluie de mai,concert d'étoiles,dans la mare ,tempslibre,3,4,4
route du port,dans les couleurs des fleurs,l'odeur de poisson ,tempslibre,4,6,5
printemps battant~,toutes ces épices,dans ma cuisine! ,tempslibre,4,5,5
rafales de Mars,la première fleur de jasmin,a passé la nuit,tempslibre,5,8,4
écossant des fèves,la tortue surgit,de je ne sais où,tempslibre,4,5,5
"nuances d’automne,",dans le café du matin,un sucre roux ,tempslibre,6,6,4
pluie de novembre -,le long du tramway,un coquelicot ,tempslibre,5,5,5
à même la table,avec les cuisses en l’air,la dinde farcie ,tempslibre,4,7,5
mes souliers vernis,avec un peu de poussière,de l'année écoulée ,tempslibre,5,8,5
panorama de la préhistoire,entre l’Aurignacien et le Solutréen,un papillon se pose ,tempslibre,9,11,7
papillon libre,un peu de poussière d'écailles,sur mes doigts ,tempslibre,5,8,3
vieille cave,un rosé du Luberon,le ploc du bouchon ,tempslibre,4,6,5
Repas d’anciens,entre la poire et le fromage,on parle prostate ,tempslibre,4,10,6
Sur la nappe tachée,on n’en finit plus de ramasser,des étoiles en plastique ,tempslibre,6,9,7
Manège chromé,des jeunes filles fardées,encore jolies ,tempslibre,3,7,5
Nuit noire sans lune,un léger parfum de fleurs,sous les cerisiers ,tempslibre,6,6,5
"un homme droit, travaille",la fenêtre ouverte,complètement à gauche,tempslibre,7,6,5
la neige se meurt,sous le soleil,"l'eau sale, brille",tempslibre,5,4,5
notes d'eau broutées,par les troupeaux de terre,sortis de l'hiver,tempslibre,5,7,5
mer d'huile,entre la vie et la mort,des hommes,tempslibre,3,7,3
attendant le printemps,une envie soudaine,de rouge à lèvres ,tempslibre,6,7,4
Le bruit des chenilles,dans les rues ukrainiennes,explosion de jonquilles ,tempslibre,6,7,7
picnic -,butterflies and,flies in the butter ,tempslibre,2,4,5
autumn color,a prison work crew,in day-glo orange ,tempslibre,4,5,6
winter dusk,unopened bottles,of wine ,tempslibre,3,6,3
prom night,a pair,of unmatched socks ,tempslibre,2,2,5
irises in bloom,the wail,of a distant train ,tempslibre,5,2,5
24-hour news --,I can't stop looking,at the fire ,tempslibre,2,5,4
travel ban,a flock of geese,overhead ,tempslibre,3,5,3
industrial waste --,an otherwise great,guitar solo ,tempslibre,5,6,4
weekend traffic --,Canada geese,overhead ,tempslibre,4,5,3
Memorial Day --,newly fallen,rain ,tempslibre,4,4,1
lingering clouds --,a stock market,sell-off ,tempslibre,4,4,2
premier jour de l'an,dans le cou des confettis,de l'an dernier ,tempslibre,5,7,4
heat wave --,she stops adjusting,her shoulder strap ,tempslibre,3,5,4
missing in action,the hollow eyes,of a veteran ,tempslibre,5,4,5
Day of the Dead --,walking into,a strong perfume ,tempslibre,4,4,5
harvest moon --,her updated,relationship status ,tempslibre,3,4,6
impenetrable haze --,the other side,of the bridge,tempslibre,7,5,4
a mother's vigil --,the rhythm,of the ventilator ,tempslibre,5,2,6
early bird special --,at least fifty,shades of grey ,tempslibre,5,4,4
secluded highway --,we turn,the radio off ,tempslibre,5,2,4
waiting for the train,a huddled mass,of smartphones ,tempslibre,5,4,4
étang calme --,une libellule atterit,sur la lune,tempslibre,3,9,4
an oasis,in the Bible Belt --,adult book store ,tempslibre,3,5,5
crowded train --,a clash,of perfumes ,tempslibre,3,2,4
darkening skies --,the final hours,of the weekend ,tempslibre,4,4,4
Day of the Dead --,all the leftover,Halloween candy ,tempslibre,4,5,5
her long legs ...,I walk right into,a spider web,tempslibre,3,5,4
lazy midtown morning -,another layer of paint,on the rusty fire escape ,tempslibre,6,6,9
lazy midtown morning -,do those green copper gargoyles,feel the cold? ,tempslibre,6,9,3
restless night --,a tree frog,in and out of tune ,tempslibre,3,3,6
autumn rain --,the warmth of one too many,glasses of wine ,tempslibre,3,8,5
de la forêt brûlée,à l'usine rouillée ~,couleurs d'automne ,tempslibre,4,5,5
nuit blanche ~,sur mon café noir se balance,le croissant de lune ,tempslibre,3,8,6
Visite à ma mère,un papillon blanc volette,de tombe en tombe ,tempslibre,5,8,6
zébrures dans l'espace,le store se coule dans la rue,par une fenêtre,tempslibre,6,9,5
ronron du frigo,bol de café fumant,premières lueurs ,tempslibre,5,5,4
Au fond de la tasse,dansent au rythme des vagues,les brisures de thé ,tempslibre,6,8,5
après le calme,le tintement de la pluie,dans une boîte de sardines ,tempslibre,4,7,9
Les restes d'un tank,Des enfants qui tirent,Sur les fantômes ! ,tempslibre,5,6,4
après un an de debout,allongé derrière la maison,l'épouvantail des oiseaux ,tempslibre,6,8,6
"Le bruit de la pluie,",Et rien d'autre,En cette longue nuit ,tempslibre,5,4,6
Entre des balles de foin ;,Longue conversation.,Sur les nuits de pluie,tempslibre,7,6,5
Nuit pluvieuse,Un homme qui parle à une bouteille,Vide ,tempslibre,4,11,2
Vent du nord,vent du sud,l'odeur de la mer dans les champs ,tempslibre,3,3,8
Rien à faire,dans cette nuit pluvieuse,que d'écouter les mûriers ,tempslibre,3,7,5
Vieux balcon-,un pot à fleurs vide,sur une caisse ,tempslibre,3,5,5
Un nid de cigognes,au-dessus de la maison abandonnée.,La pluie ne s'arrête pas ! ,tempslibre,6,11,6
fin de la moisson,l'épouvantail effondré,sur une balle de foin ,tempslibre,5,5,7
Neige de printemps-,une lune dans le ciel,une autre dans la flaque d'eau ,tempslibre,5,7,9
Seulement si la neige fond.,Des hommes qui boivent du thé.,Au café de la montagne ! ,tempslibre,8,7,7
La pluie s'est arrêtée.,La voilà.,La petite serveuse ! ,tempslibre,5,2,7
Il pleut encore-,échange de regards,le chat et moi ,tempslibre,5,5,4
Maisons basses-,par les souvenirs de la moisson ,ils repoussent le gel de la nuit,tempslibre,4,9,9
Avant de dormir-,le petit jette un coup d'oeil ,sur le bonhomme de neige,tempslibre,5,8,8
Jour de pluie-,beau temps dans les yeux,du chat ,tempslibre,3,5,2
Ville oubliée-,du dernier train descend,le nouveau instituteur ,tempslibre,5,6,7
Coin ombragé-,encore des feuilles,autour du balai ,tempslibre,3,6,5
Ta belle robe-,Je contemple aussi,le mûrier ,tempslibre,5,6,2
"Couscous après la prière,",Les croyants du jogging,Et les mécréants ! ,tempslibre,6,5,3
Fin de la tempête~,de très loin,l'aboiement d'un chien ,tempslibre,5,2,5
Moisson-,l'épouvantail veille,sur la théière ,tempslibre,2,5,4
grésil de mars,sur les patates au feu,beurre et gros sel ,tempslibre,3,7,5
photo sur la tombe,nos regards se croisent,vingt ans qu'elle sourit ,tempslibre,6,6,7
potron minet,la fraîcheur de l’aube,rentre avec le chat ,tempslibre,4,6,6
croc croc,le son des cornichons,l'été au vinaigre ,tempslibre,2,6,4
après la pluie,tout se redresse,sauf la vieille ,tempslibre,3,5,4
lapin énucléé,me reste sur le coeur,le civet aux pruneaux ,tempslibre,3,6,6
carré américain,tondeuse entre les croix,l'odeur fraîche de l'herbe ,tempslibre,4,7,7
l'amer dans la brume,tout au bout de l'allée,le ginkgo ,tempslibre,6,6,3
lune froide,l'envie soudaine,d'une glace vanille ,tempslibre,4,5,7
gémissements,d'un portail au vent,maison d'été ,tempslibre,3,5,2
la cuillère tourne,des mots convenus dans l'air,café sans sucre ,tempslibre,5,7,4
cinq fois,la pierre rebondit sur l'eau,loin loin loin ,tempslibre,2,8,3
maison vendue--,une ombre dans le salon,soleil d'automne ,tempslibre,4,8,5
de l'eau,sur la pierre d'encre--,pleine lune ,tempslibre,2,6,4
Soleil d'automne,exuvie de serpent-,l'été derrière soi ,tempslibre,5,6,4
Présage de mort,les troncs cernés--,peinture fluo ,tempslibre,4,3,4
Tous les mois,une lunaison rouge--,matin gris ,tempslibre,3,7,3
Bébé a faim,dans ses balconnets fleuris,une odeur de lait ,tempslibre,2,7,6
Labeur nocturne,un café n’empêche pas mes,chaussettes dépareillées ,tempslibre,5,6,6
longues nuits,sous le plafond immaculé,l'ombre des infirmières ,tempslibre,3,7,7
Jour des morts,un couple de papillons blancs,de tombes en tombes ,tempslibre,3,8,6
dans la cour,le rocking chair se balance,seul sous la brise ,tempslibre,3,8,5
elle chante sur les galets ,la bouteille de bière ,où s’engouffre le vent ,tempslibre,8,7,6
