line_1,line_2,line_3,source
même à moitié verte,elle mérite un haïku,la dernière fraise ,tempslibre
sentier côtier -,le clapotis de l'eau,dans la gourde ,tempslibre
le brouillard se lève -,deux mésanges sur le toit,de l'hôtel à insectes ,tempslibre
heure d'hiver -,le feuillage du prunus,change de couleur ,tempslibre
allée du jardin -,le demi-tour argenté,d'une limace ,tempslibre
pensées vagabondes -,du sang sur le tranchant,de la cisaille ,tempslibre
transplantant le jasmin,une famille de cloportes,expropriée ,tempslibre
fenêtre ouverte,sur la nuit étoilée -,elle repousse le drap ,tempslibre
à chaque voiture,la queue du renard,se soulève ,tempslibre
le décolleté,de la jeune cueilleuse,- champ de melons ,tempslibre
pneus regonflés -,le grain de la route,chante juste ,tempslibre
bac à compost -,des pépins de melon suivent,la route des fourmis ,tempslibre
à mesure,que la pénombre descend,l'orange de l'azalée ,tempslibre
jardin zen -,l'ombre du Bouddha de pierre,a changé de place ,tempslibre
de l'orage d'hier,plus rien qu'un escargot,écrabouillé ,tempslibre
premières chaleurs -,un moineau visite,les gouttières du quartier ,tempslibre
mélangeant le compost -,une étiquette,de banane bio ,tempslibre
matin de l'Ascension -,une mouche traverse,le rai de lumière ,tempslibre
soir d'anniversaire -,un bracelet rouge,offert à ma montre ,tempslibre
Vendredi Saint -,à ma fenêtre le vide,de l'arbre abattu ,tempslibre
gel tardif -,la grenouille de pierre,a perdu un orteil ,tempslibre
la porte voisine,s'entrouvre un instant,- l'heure du chat ,tempslibre
dimanche des Rameaux -,les fleurs blanches de l'orchidée,que l'on croyait morte ,tempslibre
jardinerie -,elle choisit les lavandes,avec des abeilles ,tempslibre
matin d'anniversaire -,mes empreintes sur la plage,un peu plus profondes ,tempslibre
sortie du tunnel -,un champ de colza éclaire,le compartiment ,tempslibre
par le trou du bagel,il me montre,la pleine lune ,tempslibre
grange en ruine -,une odeur de paille,au soleil couchant ,tempslibre
de gauche à droite,de droite à gauche,la natte de la joggeuse ,tempslibre
premières mesures -,le reflet des projecteurs,sur les cordes du banjo ,tempslibre
matin silencieux -,quelques gouttes de lait,dans mon café noir ,tempslibre
agenda haïku -,des miettes de biscuit,à la page de dimanche ,tempslibre
soleil printanier -,des livres de jardinage,sur la table du salon ,tempslibre
sous un haïku,d'hiver et de fumée blanche,un insecte écrasé ,tempslibre
premier jour de l'an -,une coupure ancienne,se remet à saigner ,tempslibre
repas de l'an -,quelques miettes,au creux de la main ,tempslibre
tempête d'hiver -,ma chaise de bureau,craque un peu ,tempslibre
jardin de brume -,le bleu d'automne délavé,des hortensias fanés ,tempslibre
après la tempête,des feuilles d'arbres inconnus,dans le jardin ,tempslibre
du nuage,à l'avion,le fil déroulé ,tempslibre
repas du soir -,le chat du crépuscule,se glisse dans les vignes ,tempslibre
fin de roman -,un reste de café froid,au fond de ma tasse ,tempslibre
dans mon demi-sommeil,le chant du coq,pour la troisième fois ,tempslibre
trafic à l'arrêt -,le ciel du matin chargé,de vols d'étourneaux ,tempslibre
brûlant une à une,de vieilles lettres d'amour -,un peu de fumée grise ,tempslibre
nuit d'équinoxe -,des cris de chats,déchirent mon rêve ,tempslibre
plat de raisin -,l'après-midi pluvieuse,grain à grain ,tempslibre
une patte à la traîne,entre les fleurs tombées,l'araignée du soir ,tempslibre
carnet de haïkus -,un moucheron s'est posé,entre bleu et ciel ,tempslibre
nuit sans lune -,un chien lointain répond,à son écho ,tempslibre
la mer au loin -,craquement de coquillages,sous nos pas ,tempslibre
marée basse -,le silence des coquillages,sous la pleine lune ,tempslibre
clapotis au bas,de l'escalier du quai,- une odeur de pisse ,tempslibre
sous l'oeil d'un héron ,séance d'étirements,sur une jambe ,tempslibre
fenêtre entrouverte -,quelques accords de trombone,dans le soir de mai ,tempslibre
volets disjoints -,juste assez de jour,pour un haïku  ,tempslibre
changement climatique -,les fleurs du magnolia,noyées dans le vert,tempslibre
un an de plus -,un premier chant d'oiseau,dans mon insomnie ,tempslibre
face Nord des iris -,un escargot escalade,la plus haute feuille ,tempslibre
éclaircie -,un papillon blanc,traverse la rue ,tempslibre
éclaircie -,un papillon blanc,traverse la rue,tempslibre
chapelle perdue -,des fleurs du chemin séchées,au pied de la Vierge ,tempslibre
fin des vacances -,quelques grains de sable,au fond de mes poches ,tempslibre
carnet de haïkus -,l'empreinte de mes pas,dans la neige de mars ,tempslibre
fin de journée -,la voix éraillée,du distributeur bancaire ,tempslibre
chemin de halage -,le brouillard dissout,le gris-bleu du héron,tempslibre
matin de semaine -,deux carrés de sucre,dans son café noir ,tempslibre
averse d'hiver -,de ce dernier jour de l'an,n'attendant plus rien ,tempslibre
veille de l'an -,une échancrure rose,au ras de l'horizon ,tempslibre
ma ceinture,desserrée d'un cran -,lendemain de l'an ,tempslibre
Épiphanie -,les bourgeons du magnolia,défient le ciel gris ,tempslibre
salle de classe -,l'âne de la crèche,regarde par la fenêtre ,tempslibre
première neige -,des graffitis d'oiseaux,au seuil du jour ,tempslibre
dimanche sans fin -,un bonhomme de neige,dans la cour de l'école ,tempslibre
ciel de neige -,elle remet un peu de bleu,sur ses paupières ,tempslibre
ciel d'hiver -,elle ajoute un peu de bleu,sur ses paupières ,tempslibre
première neige -,des traces de pas,de poubelle à poubelle ,tempslibre
lumières crues,du parking de l'hyper -,un ciel sans étoiles ,tempslibre
dans la césure,d'un haïku d'automne,la pluie sur les tuiles ,tempslibre
au bord du trottoir,le feuillage du cerisier,dans deux sacs poubelles ,tempslibre
de l'insecte,écrasé entre les pages,le dessin des ailes ,tempslibre
feuillages d'automne -,les yeux rivés sur l'écran,de son portable ,tempslibre
reprenant le livre,ouvert sur la table,- quelques grains de sable ,tempslibre
allée de cactus -,deux prénoms gravés,entre les épines ,tempslibre
entre four et frigo,trois abricots fripés,peau contre peau ,tempslibre
fraîcheur du matin -,nos chaises côte à côte,au fond du jardin ,tempslibre
bruissement d'ailes,des chauves-souris -,la nuit descend ,tempslibre
carrelage frais -,un parfum de pêches mûres,au lever du jour ,tempslibre
à chaque passage,de la chauve souris,une nouvelle étoile ,tempslibre
croisée de chemins -,le genévrier,s'est arrêté là ,tempslibre
ciel étoilé -,tout un champ d'éoliennes,à l'arrêt ,tempslibre
gîte de vacances -,le battement des secondes,au coeur de la nuit ,tempslibre
citerne à sec -,la trace d'un escargot,sur le muret de pierre ,tempslibre
crépuscule -,une dernière buse,en cercles lents ,tempslibre
ombre du cerisier -,le claquement des noyaux,sous la tondeuse ,tempslibre
reflet dans l'inox,de la machine à café -,petit matin nu ,tempslibre
douceur du soir -,le trait rose d'un avion,effleure la lune,tempslibre
lentilles d'eau -,le sillage du canard,lentement se referme ,tempslibre
fracas des vagues -,un galet ébréché,remis à la mer ,tempslibre
pylône du virage -,les couleurs passées du bouquet,de fleurs artificielles ,tempslibre
rond point -,à quoi ressemble la face,cachée de la lune ? ,tempslibre
ablutions matinales -,le canal en gouttes rondes,sur le dos d'un canard ,tempslibre
réunion de travail -,un papier de Carambar,au fond de ma poche ,tempslibre
bras mort du canal -,la course soudaine,d'une poule d'eau ,tempslibre
au bout du champ,deux moineaux sur son chapeau,- l'épouvantail ,tempslibre
vent glacial -,des feuilles mortes se pressent,sur la pierre du seuil ,tempslibre
froid polaire -,la pharmacienne recharge,le distributeur de préservatifs ,tempslibre
cour de l'école -,les cases de la marelle,blanches de sel ,tempslibre
matin de givre -,l'ombre blanche,des peupliers ,tempslibre
soleil couchant -,les tours de verre,s'allument ,tempslibre
lune d'hiver -,le souvenir soudain,du parfum des lilas ,tempslibre
vent d'hiver -,des bouteilles s'entrechoquent,dans le bief de l'écluse ,tempslibre
double vitrage -,le croissant de lune,et son reflet ,tempslibre
dans la vapeur,de ma tasse de thé,la lune montante ,tempslibre
sonnerie du réveil -,le camion poubelles,à l'heure pile ,tempslibre
sous ma capuche,la rumeur de la rue,picotée de pluie ,tempslibre
au bout d'une branche,le jardin suspendu,dans une goutte d'eau ,tempslibre
reprenant la course,après deux mois de pause,- la même pluie ,tempslibre
terrasse humide -,les chemins des vers de terre,s'entrelacent ,tempslibre
réchauffement climatique -,des galettes des rois,en avance d'un mois ! ,tempslibre
après la pluie,la pleine lune s'égoutte,derrière la vitre ,tempslibre
premier jour d'hiver -,retouchant un haïku,de l'été dernier ,tempslibre
dernière tonte -,du sac d'herbe s'échappe,la brume du soir,tempslibre
après chaque voiture,la ruée des pies,vers l'amas de poils rouges ,tempslibre
départ du train -,la nuit s'installe,à la fenêtre ,tempslibre
halo du lampadaire -,le merle noir plus noir,que son ombre ,tempslibre
caisse de l'hyper -,sur les paquets de yaourts,de la dentelle noire ,tempslibre
échangeur routier -,le croissant de lune passe,dans la vitre arrière ,tempslibre
météo matinale -,entre les lames du store,un tiret de ciel gris ,tempslibre
livre non massicoté -,à petits coups de canif,la fin de la phrase ,tempslibre
toilettes de la plage -,la chasse d'eau emporte,le bruit des vagues ,tempslibre
maison de vacances -,le pommier abandonne,ses fruits aux herbes hautes ,tempslibre
tombée du jour -,un groupe d'étourneaux,sur le fil électrique ,tempslibre
à pas lents dans le parc,herbe et terre humide avant,huit heures de clim ,tempslibre
pelouse rase -,une feuille du jasmin,rouge sang ,tempslibre
dernier matin d'août -,le bleu lagon,de mon gel de rasage ,tempslibre
coupant en dés,des quartiers de pomme -,la lune à la fenêtre ,tempslibre
le vieux du mas,est parti - des rejets,au pied des oliviers ,tempslibre
verveine orange -,une première étoile,puis une deuxième ,tempslibre
tronc du vieux pin -,une mue de cigale,face au couchant ,tempslibre
ombre froide -,le chant des cigales,s'est arrêté net ,tempslibre
pluie fine -,un papillon de nuit,dans la moustiquaire ,tempslibre
levant le yeux,par-dessus ma page -,la lune brouillée ,tempslibre
lune du matin -,la rousseur de l'écureuil,de branche en branche ,tempslibre
quatrième,de couverture -,le sang du moustique ,tempslibre
café brûlant -,mes lunettes,voilées de vapeur ,tempslibre
claquement,des capsules de l'euphorbe -,l'après-midi lente ,tempslibre
long jour de pluie -,dans une fenêtre de la rue,les lueurs du couchant ,tempslibre
un peu d'herbe neuve,à l'emplacement de la souche -,mes paumes cicatrisent ,tempslibre
bruit de l'aspirateur -,le soleil se cache,derrière un nuage ,tempslibre
soirée au jardin -,le lave-linge des voisins,passe à l'essorage ,tempslibre
averse nocturne -,une planche de bois neuve,au banc de l'écluse ,tempslibre
heure d'hiver -,pelant mon kiwi dans le sens,des aiguilles d'une montre ,tempslibre
vieux pommier -,un bruit de scie emplit,l'espace vide ,tempslibre
avant les poubelles,après les poubelles,le chant de la grive ,tempslibre
chemin de halage -,deux cyclos sur le petit braquet,parlent du Ventoux ,tempslibre
bruit de tondeuse -,des violettes sauvages,tapies sous la haie ,tempslibre
nouvelles du monde -,la ligne rose d'un avion,d'une antenne à l'autre ,tempslibre
cimetière militaire -,le vent effiloche drapeaux,et cerisiers roses ,tempslibre
mercredi des Cendres -,la touffe de jonquilles,s'apprête à fleurir ,tempslibre
tsunami au Japon -,un souffle de vent ride,la surface du canal ,tempslibre
tiroir du bureau -,l'été dernier,en carte mémoire ,tempslibre
champs nus -,la ligne à haute tension,à pas de géants ,tempslibre
petit matin clair -,un haïku de Bashô,avant le départ ,tempslibre
la lune,dans une flaque,- presque pleine ,tempslibre
infos matinales -,la composition des céréales,en sept langues ,tempslibre
vent d'ouest -,le claquement de grand voile,d'une bâche d'ensilage ,tempslibre
d'un an à l'autre,d'un haïku à l'autre,juste un interligne ,tempslibre
longue nuit de neige -,des pattes d'oiseaux devant,la porte d'entrée,tempslibre
marché de Noël -,une étoile dans la flaque,de neige noire ,tempslibre
froid piquant -,un rang de stalactites,au rebord du toit,tempslibre
lendemain de Noël -,le sol couvert de paillettes,autour des poubelles ,tempslibre
roms du feu rouge -,un air d'accordéon,dans le flash infos ,tempslibre
heure d'hiver -,pelant mon kiwi dans le sens,des aiguilles d'une montre ,tempslibre
terrasse d'automne -,un coup de balai autour,de la coccinelle ,tempslibre
nuit de novembre -,sur mes mains l'odeur,de l'herbe broyée ,tempslibre
dernier jour d'été -,devant l'enfant qui court,l'envol des pigeons ,tempslibre
fin de manif -,les pigeons reprennent,possession de la place ,tempslibre
équinoxe d'automne -,cherchant un mot pour dire,le rouge du jasmin ,tempslibre
nuit blanche -,deux tégénaires immobiles,au fond de l'évier ,tempslibre
nappe de brouillard -,le grésillement de la ligne,à haute tension ,tempslibre
dimanche soir -,trois ballons dégonflés,au portail d'un voisin ,tempslibre
rosée du soir -,une coccinelle sur le fil,de la tondeuse ,tempslibre
orientée à l'est,la longue pyramide,de balles de paille ,tempslibre
première gelée -,le parfum bleu acier,de mon après-rasage ,tempslibre
duvet bien à plat,et couverture pliée -,son coin de porte au carré ,tempslibre
chaise longue -,le matelas de neige,fond doucement ,tempslibre
premier jour de l'an - ,je change la lame ,de mon rasoir  ,tempslibre
tartine beurrée ,dans mon café noir - ,le ciel étoilé  ,tempslibre
les bourses s'effondrent -,premières feuilles mortes,dans la rue,tempslibre
dimanche des Rameaux -,la pluie mouille doucement,le buis du jardin,tempslibre
averse de grésil -,la fleuriste rentre,les bouquets de soleils,tempslibre
mercredi des Cendres ~,une fille en pull rouge,traverse la Grand'Place,tempslibre
premier café -,la tache de couleur,du nouveau calendrier,tempslibre
soirée glaciale ~,une ombre assise,dans le lavoir automatique,tempslibre
place handicapés ~,une voiture couverte,de feuilles mortes,tempslibre
araignée sur le seuil ~,    un deuxième  tour,        au verrou,tempslibre
dernier matin d'août ~,un vieil homme à  sa porte,regarde sa montre,tempslibre
silence de l'aube ~,un peu de  vapeur s'élève,de mon bol,tempslibre
bac à vaisselle  -,une Afrique dérive,au-dessus des plats,tempslibre
paillettes dorées,aux joints du carrelage  -,veille de Noël,tempslibre
une  alarme,au loin dans la nuit -,ses pieds glacés,tempslibre
seul ce matin  -,l'arête coupante,de mon bol ébréché,tempslibre
soleil pâle -,le premier  papillon,de septembre,tempslibre
minuit -,avant le 12ème coup,... la  chasse d'eau,tempslibre
grondement d'un avion -,cherchant parmi les étoiles,celle qui clignote ...  ,tempslibre
après l'orage,une flaque de  ciel bleu,au creux du banc de pierre,tempslibre
corbeille de fruits -,le point du jour,sur chaque cerise,tempslibre
des traces de roues,dans la neige du bas côté -,mercredi des  Cendres,tempslibre
trêve de Noël -,une petite araignée,traverse la cuisine,tempslibre
averse de neige -,le cognassier,piaille,tempslibre
bruits de grattoir,sur une pare-brise -,la chaleur du lit,tempslibre
vitrine du libraire -,les couvertures décolorées,des romans de l'été,tempslibre
maison abandonnée -,une glycine franchit,le mur du jardin,tempslibre
marée montante -,un autre pas recouvert,par une autre vague,tempslibre
averse de neige -,les mannequins de la vitrine,en robes d'été,tempslibre
porte vitrée -,une marelle de lune,dans l'entrée,tempslibre
ticket de métro -,juste assez de place,pour un haïku,tempslibre
nuit orageuse -,le bourdonnement,d'une moissonneuse,tempslibre
nuit de pleine lune -,un moustique sur l'écran,de l'ordinateur,tempslibre
clapotis de l'eau -,la radio d'un pêcheur,en sourdine,tempslibre
nuit de dégel -,le bonhomme de neige,est parti sans sa pipe,tempslibre
Papillons de nuit -,Des fleurs du chèvrefeuille,fanées sur le sol,tempslibre
lune automnale ,la brûlure du whiskey ,tu as laissée derrière toi ,tempslibre
dans le cimetière de l'église,où mon père a trouvé dieu,des pommes meurtries ,tempslibre
j'oublie sa voix,la lettre d'excuses de mon père,crépite dans le feu ,tempslibre
danse lente --,les flocons tourbillonnent au son,du silence ,tempslibre
mort de l'hiver,fleurissant dans l'obscurité,mon haleine ,tempslibre
café de minuit,une cuillère de sucre,mélangée aux ténèbres ,tempslibre
nuit sans sommeil -,au loin,l'express de minuit ,tempslibre
été indien -,du fermier,la lèvre craquelée ,tempslibre
nuit étoilée. . .,compter mes pillules,pour la chimio,tempslibre
tempête en approche,le premier frémissement,des feuilles qui tremblent ,tempslibre
Mississippi,entre les pages,Je navigue avec Huck Finn ,tempslibre
après l'heure de pointe ,au carrefour ,seulement la pluie ,tempslibre
train de nuit,un étranger et moi,synchronisons nos montres... ,tempslibre
minuit... ,le rythme régulier ,de sa perfusion ,tempslibre
minuit...,le souvenir de ton coeur qui bat,près du mien ,tempslibre
échographie... ,le battement de coeur absent ,de leur enfant à naître ,tempslibre
avant,l'arrivée des abeilles...,le magnolia,tempslibre
jour du déménagement... ,tout ce qui reste,de notre jeunesse ,tempslibre
arc-en-ciel...,elle m'apporte ses crayons ,pour les tailler ,tempslibre
soins intensifs,le langage,des yeux ,tempslibre
lueur de lune...,encore ce tremblement,à son contact ,tempslibre
la pluie sur le toit,Je respire l'odeur,du vieux cuir ,tempslibre
exercice du matin ,un nuage de vapeur ,quand la selle se défait ,tempslibre
la pluie sur le toit ,Je respire l'odeur ,du vieux cuir ,tempslibre
premier coucou ...,une légère hésitation,dans la prière de la nonne ,tempslibre
beauté passée...,"une fois de plus, elle peint",sur les fissures ,tempslibre
Dans la pénombre ,mon stylo qui plane ,au-dessus du document ,tempslibre
tout ce qui reste,de l'été...,du bois flotté ,tempslibre
sommeil profond... ,l'ascension et la chute de ,son dragon tatoué ,tempslibre
avis de tempête,un troisième goeland se pose,sur la bouée à cloche ,tempslibre
phare ...,les flashs rouge vif,des becs des puffins ,tempslibre
parti ...,l'espace entre nous,se remplit du vent ,tempslibre
marée descendante,elle donne et reprend,une bêche en plastique jaune ,tempslibre
emménagement ...,la croissance d'un enfant en pouces,sous le vieux papier-peint ,tempslibre
le silence de la neige,le café bouillonnant chez grand-père,poêle au ventre rond ,tempslibre
un bûcher funéraire,des feuilles d'automne,l'hiver s'installe ,tempslibre
tempête imminente,la dernière pie,prend son envol ,tempslibre
lumière changeante,le héron gris et moi,en profonde réflexion ,tempslibre
après l'heure de pointe,au carrefour,seulement la pluie ,tempslibre
matin de décembre,l'odeur de grains de café,et toast à la cannelle ,tempslibre
jeunes en ville,quelle statue portera,un cône de signalisation ,tempslibre
thé à l'hospice ...,pendant un moment Maman,se rappelle mon nom ,tempslibre
amour estival,une rougeur soudain,sur ses joues pâles ,tempslibre
dans le silence,le hurlement perçant,de l'express de nuit ,tempslibre
le cœur qui bat la chamade,d'un cerf effrayé.....,lune de sang ,tempslibre
minuit ...,le rythme régulier,de son intraveineuse ,tempslibre
avertissement de tempête....,le premier bruissement,de feuilles tremblantes ,tempslibre
nuit de mi-été,le parfum de la fumée de bois,à la dérive dans les rires ,tempslibre
concours de labour....,le cheval de ferme porte,un chapeau d'épouvantail ,tempslibre
maison en ruine,mais avec le matin,plein soleil ,tempslibre
ciel secoué....,dans le champ de blé,une bousculade de souris ,tempslibre
langueur automnale,les ombres douces,des roses mourantes ,tempslibre
pique-nique estival,l'ombre de ma fille,habillée de marguerites ,tempslibre
acouphènes...,pour moi seulement,le chant des cigales ,tempslibre
coeur de l'hiver...,le souvenir de l'odeur,de citronnelle ,tempslibre
grand magasin,du matin au soir -,dans son caddy sa maison,tempslibre
sous la lune,blanche fleur de nénuphar,dans la nuit de l'étang ,tempslibre
nuages d'orage -,mère cherche après,les bougies,tempslibre
les fleurs de lavande,près des violettes,dans un pot bleu,tempslibre
des étoiles,un plein étang,dans le jardin,tempslibre
trempés,dans le vieux marc,on se câline --,tempslibre
chantier glacial -,la bétonnière,ahanepour rester en vie ,tempslibre
à travers mes paupières closes,l'éclair frappe,mon rêve,tempslibre
d'un miroir,des yeux bleu pâle me regardent d'un air entendu,la neige va s'épaissir ,tempslibre
routes de la prairie,dans les fossés pleins de fonte de neige,les lunes flottent ,tempslibre
"vieille maison,",toutes les portes,sont ouvertes,tempslibre
un chaton...,se souviendra-t-il aussi,de sa première neige ?,tempslibre
nuit de pleine lune ...,j'allume le feu de camp,avec une page de magazine de mode,tempslibre
un nouveau portable ...,tant de gens avec qui parler,jusqu'à ce que la batterie meure,tempslibre
"en dehors de la ville,",tant d'étoiles,sans nom,tempslibre
pluie de fin d'été --,deux gamins cassent les bouteilles,sous le pont,tempslibre
un gland tombe,le son de pluie,continue ,tempslibre
la lune,dans chaque flaque,la même,tempslibre
Les feuilles tombent,Je te regrette déjà,Cet hiver,tempslibre
des voix d'enfants,de dessous les herbes,bunker en beton,tempslibre
montagnes blanches,aussi vite qu'il peut,le train les passe,tempslibre
feu de camp ~,la marmite qui fume,et les souliers,tempslibre
je ratisse les feuilles ~,le vent souffle,du mauvais côté,tempslibre
sable chaud de la plage...,entre mes doigts,un mégot,tempslibre
entre la deuxième,et la troisième ligne -,un détour par les toilettes,tempslibre
cabinet du dentiste -,les fissures entre les tuiles,remplies de saletés,tempslibre
après une nuit froide,une tasse de café -,"oh, mon gars !",tempslibre
Noël loin de la maison -,le pilote de B-52,en père Noël,tempslibre
hérisson dans la brume,il cherche les pommes,sous le mauvais arbre,tempslibre
l'automne avance —,un poisson glisse,dans la gorge du cormoran ,tempslibre
l'automne se creuse —,un poisson glisse,dans la gorge du cormoran,tempslibre
odeur de lait,de l'haleine du veau—,lune du matin ,tempslibre
gelée de printemps,la chaleur de la théiere,contre ma joue,tempslibre
retour de la bibliothèque,la chaleur de sa main,encore dans le livre,tempslibre
ciel sans nuage,l'éclat de citrons frais,dans un bol bleu,tempslibre
feuilles pourries,nous laissons la tempête,les cueillir ,tempslibre
fin d'été,nous ne savons plus,ce qui dort dans la grange ,tempslibre
après le facteur --,rien dans la boite,sauf un lézard,tempslibre
après-midi de novembre,la cloche insistante,d'un marchand de glaces,tempslibre
les iris bleus de van gogh,"pendent au mur, avec",d'autres jardins,tempslibre
les choses vont et viennent <>,gouttes de pluie,sur le pin,tempslibre
mon Bouddha de pierre,assis dans le noir <>,"neige, neige, neige",tempslibre
chaleur de midi,sous l'ombre de l'arbre,une chaise vide ,tempslibre
Une pause dans la tempête --,le pic-vert fonce,sur un autre arbre.,tempslibre
Le thym,est monté en semence --,fin de l'été,tempslibre
les pétales de cerisier,volent de plus en plus haut -,tempête dans ma vallée ,tempslibre
une tasse de thé,et un koan pour la route -,mon matin froid ,tempslibre
gel sévère -,la blancheur brillante,de mon toit brun ,tempslibre
l'automne se creuse -,je me demande ce que mon voisin,écrit aujourd'hui ?! ,tempslibre
voix d'automne -,le battement de la pluie,sur mes tuiles ,tempslibre
première cigale -,le jour chaud semble,encore plus chaud ,tempslibre
les politiciens jouent,les mêmes vieux jeux -,longue saison pluvieuse ,tempslibre
nuit de séisme -,les étoiles sont aussi silencieuses,que jamais ,tempslibre
table 4 2,- une romance réduite,à des nombres ,tempslibre
soleil froid -,les chandelles de glace refusent,de fondre ,tempslibre
nuit froide -,des niveaux plus profonds de rêves,et de peurs ,tempslibre
quand celsius,et farenheit se rencontrent -,nuit froide ,tempslibre
matin du jour de l'an -,j'essuie un peu de saleté,de mes lunettes ,tempslibre
blizzard -,la pesanteur,des flocons ,tempslibre
ménopause -,elle se querelle même avec,la lune d'automne ,tempslibre
combattre,la chaleur de l'été -,pas de temps pour la poésie ,tempslibre
le futur,au creux des feuilles de thé ... ,croissance de printemps ,tempslibre
première luciole -,la lune aussi montre,son visage ,tempslibre
fin du jour - -,lumière et ombre,sur les fleurs d'abricotier ,tempslibre
comme elle est noire !,la saleté du dernier tas,de neige ,tempslibre
jour pluvieux -,J'a finalement fini,le Saijiki de printemps ,tempslibre
crash du PC ...,je voudrais être,ce papillon,tempslibre
mon pain quotidien,sur la table vide ...,équinoxe de printemps ,tempslibre
vieux prunier en fleurs ...,l'an dernier le vieux propriétaire,est mort ,tempslibre
clair de lune,sur le toit du temple -,et le silence ,tempslibre
équinoxe d'automne -,toutes les corneilles font la fête,avec les offrandes des tombes ,tempslibre
la danse des,échos dans la crypte . . . ,froid d'hiver ,tempslibre
souper dehors ...,les miettes marchent au long,du mur de briques ,tempslibre
un tout petit monde,se déplie et pousse,pluie d'été ,tempslibre
la cour arrière,de la maison d'un pauvre homme ...,chaleur d'été ,tempslibre
plus de pluie -,la lavande penche,sur le Bouddha de pierre ,tempslibre
pas de lucioles ...,les reflets du clair de lune,sur les feuilles de camélia ,tempslibre
première luciole ...,une nuit tranquille et puis,un éclair ,tempslibre
fleurs de paulownia -,un haïku flotte,dans le ciel ,tempslibre
un mille-pattes,fait sa promenade du matin ...,"aah, ma table de cuisine ",tempslibre
fin de l'hiver ...,mes chaussettes chaudes,avec de grands trous ,tempslibre
soleil de printemps,sur le ventre du chat ...,ermitage de montagne ,tempslibre
dernière neige ..,un faisan appelle,dans la brume du matin ,tempslibre
Ides de mars ...,quelqu'un se rappelle,le professeur d'histoire ? ,tempslibre
fleurs de printemps ...,le vieux fermier,tousse du sang ,tempslibre
coucher de soleil d'hiver -,la moitié de mon Bouddha,encore dans la lumière ,tempslibre
pensant à toi -,l'étincelle de la dernière,chandelle de glace ,tempslibre
premier lever de soleil -,un camélia tombé,brille dans mon allée ,tempslibre
soleil d'hiver -,la lente croissance de l'ombre,d'une pierre ,tempslibre
équinoxe d'automne ...,le murmure des vagues,change lentement ,tempslibre
haut ciel d'automne --,dans le monde des hommes,des voix d'insectes ,tempslibre
l'automne se creuse ...,ces petites fleurs roses,sur mes plus mauvaises herbes ,tempslibre
dans l'ombre,de la pleine lune ...,un feu d'artifices au loin ,tempslibre
chaleur d'été ...,le chat dort,sur le barbecue,tempslibre
méditant,un jour de pluie ...,nouveau thé vert,tempslibre
prières du matin -,les tombes des ancêtres,dans le silence profond,tempslibre
lune de jour <>,l'horloge a stoppé,son tic-tac,tempslibre
soir d'automne --,la chaleur reste encore,sur cette vieille chaise longue,tempslibre
couleurs d'automne <>,je me rappelle,la couette favorite de maman,tempslibre
fin d'été -,mon chat toujours haut,sur le chaud toit de tôles ondulées,tempslibre
automne avec alzheimer -,elle brise le pain,.. ... .. avec soin,tempslibre
mondialisation --,il sert le sushi,avec du pain français,tempslibre
éclair,au loin dans le ciel --,première luciole,tempslibre
été dans le temple --,les cornes du dragon,juste visibles,tempslibre
Confucius <>,un autre long chemin,vers les vieil étang,tempslibre
printemps tardif --,la vieille bouilloire,brille encore,tempslibre
guerre en Irak --,une araignée se cache,dans la fleur de cerisier,tempslibre
montagnes bleues --,la vieille pierre tombale,monte la garde,tempslibre
tempête de printemps <>-,le grand pin penche,vers le petit,tempslibre
boutons de roses dans la neige --,la douceur de sa main,sur mon épaule,tempslibre
tempête de printemps <>,le vent sonne notre,cloche d'entrée,tempslibre
canards mandarins --,une paire silencieuse,sur la table du diner,tempslibre
hiver en ville --,le memorial de pierre du,Dieu de l'Eau,tempslibre
matin d'hiver <>,quelques gouttes de rosée sur,ma dernière rose,tempslibre
soleil d'hiver --,toutes les ombres d'un,petit camelia,tempslibre
anniversaire de mariage <>,m'aime-t-il encore,comme les baies rouges du houx ?,tempslibre
jour froid d'automne --,thé chaud du Kenya,dans ma tasse,tempslibre
temple de montagne --,un prieur recouvert,de mousse,tempslibre
l'automne se creuse <>,un dernier rayon de soleil,sur les pins,tempslibre
matin de brume --,un monde noir et blanc,derrière les tombes,tempslibre
faisant la vaisselle --,une petite bulle de savon monte,vers le ciel,tempslibre
coucher de soleil <>,le poids de ta main,sur mon genoux,tempslibre
neige sur les feuilles rouges <>,tant de coïncidences,dans ma vie,tempslibre
le dragon <>,maintenant un nuage,dans mon ciel,tempslibre
écouter,un bâton d'encens <>,l'automne plus profond,tempslibre
l'automne se creuse <>,les souvenirs s'estompent dans,les nappes de brume,tempslibre
l'automne avance <>,le jacassement des corneilles s'étoufre,dans le brouillard épais,tempslibre
juste regarder,quelques nuages d'automne <>,une tasse de thé chaud,tempslibre
midi <>,une cigale morte,entourée de fourmis,tempslibre
daphné odorant <>,le percepteur du gaz s'arrête,avant de frapper à la porte,tempslibre
averse de grêle <>,sous le toit qui gronde,je retiens mon souffle,tempslibre
un vieux temple,parmi les cèdres,trop de feuilles tombées...,tempslibre
oubliant mes mots,pas à pas,la nuit d'automne s'avance,tempslibre
un moustique,visant avec bruit <>,le bruit d'une main,tempslibre
