line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
A naked man has, few secrets but a flayed man's,got none Roose Bolton,twaiku,5,7,7,A naked man has  few secrets but a flayed man's got none Roose Bolton
Honestly it's fuck, them both Never had hate for,anyone til now,twaiku,5,8,5,Honestly it's fuck  them both Never had hate for anyone til now
Having mixed feelings, about Gabrielle Union,while reading her book,twaiku,6,7,6,Having mixed feelings  about Gabrielle Union while reading her book
Oh dear Be ready, You're about to enter my,shit posting channel,twaiku,5,8,5,Oh dear Be ready  You're about to enter my shit posting channel
I actually, gained a lot of weight and that's,a no for me dog,twaiku,4,8,5,I actually  gained a lot of weight and that's a no for me dog
why do white people, talk so loud in small public,areas shut up,twaiku,6,7,4,why do white people  talk so loud in small public areas shut up
Why you even speak, my name I guess I make you,feel some type of way,twaiku,5,9,7,Why you even speak  my name I guess I make you feel some type of way
I'm such a baby, when I get sick I don't want,to do anything,twaiku,5,7,5,I'm such a baby  when I get sick I don't want to do anything
day moon,wind sculpts ripples,on the dunes,sballas,2,4,4,day moon wind sculpts ripples on the dunes
Nah baby girl you, are like a five course meal a,picnic fuck a snack,twaiku,5,11,5,Nah baby girl you  are like a five course meal a picnic fuck a snack
I don't believe what, you say because I see what,you do James Baldwin,twaiku,6,8,6,I don't believe what  you say because I see what you do James Baldwin
vernal equinox,the tender shoots,of weeds,sballas,5,4,2,vernal equinox the tender shoots of weeds
The perverted jokes, I come up with make me think,I'm a sex addict,twaiku,6,9,5,The perverted jokes  I come up with make me think I'm a sex addict
pool filter,a child's collection,of dandelion wishes,sballas,3,5,6,pool filter a child's collection of dandelion wishes
Anyone want to, hang out tomorrow night I,need a girls night lol,twaiku,5,7,5,Anyone want to  hang out tomorrow night I need a girls night lol
Environmental, impact aside what about,animal cruelty,twaiku,5,8,5,Environmental  impact aside what about animal cruelty
Do you not really, care what happens to the Earth,To the universe,twaiku,5,8,6,Do you not really  care what happens to the Earth To the universe
The War between black, men and women also needs,to come to an end,twaiku,5,7,6,The War between black  men and women also needs to come to an end
Bae about yo lay, down w her mommy,she is there cutest,twaiku,5,4,6,Bae about yo lay  down w her mommy she is there cutest
after the hurricane---,the skyline lights,burn bright,tempslibre,7,5,2,after the hurricane--- the skyline lights burn bright
Being with min makes, me forget about even,having a mood drop,twaiku,5,7,5,Being with min makes  me forget about even having a mood drop
has lost so many, fans Lol the update is so,dumb Done using snap,twaiku,5,8,6,has lost so many  fans Lol the update is so dumb Done using snap
Don't You Worry Don't, Worry Child See Heaven s,Got A Plan For You,twaiku,5,6,5,Don't You Worry Don't  Worry Child See Heaven s Got A Plan For You
This new season of, Black Mirror is really not,doing it for me,twaiku,5,7,4,This new season of  Black Mirror is really not doing it for me
Noses are outer, space lilies are black sugar,is sweet and so on,twaiku,6,9,5,Noses are outer  space lilies are black sugar is sweet and so on
IM REALLY GOING, TO HEAR TSUNAMI LIVE IN,NINE DAYS OH MY GOD,twaiku,4,8,6,IM REALLY GOING  TO HEAR TSUNAMI LIVE IN NINE DAYS OH MY GOD
Everyone looks so, important in LA that no,one looks important,twaiku,6,7,6,Everyone looks so  important in LA that no one looks important
I NEED JENNIE TO, POP OFF And I don't think I'll,be disappointed,twaiku,5,7,5,I NEED JENNIE TO  POP OFF And I don't think I'll be disappointed
I was about to, say the NFL Rigged if,they overturned that,twaiku,5,5,6,I was about to  say the NFL Rigged if they overturned that
bea is the cutest, thing ever i really cry,everytime we talk,twaiku,5,7,7,bea is the cutest  thing ever i really cry everytime we talk
from columbus my father said,you could go just about,anywhere,img2poems,8,6,4,from columbus my father said you could go just about anywhere
Tired of having, to always sleep with one eye,open basically,twaiku,5,8,6,Tired of having  to always sleep with one eye open basically
bitches w, no money act like money,isn't everything,twaiku,2,8,5,bitches w  no money act like money isn't everything
I guess she doesn't, want my help I tried but I,wish the best for her,twaiku,4,7,5,I guess she doesn't  want my help I tried but I wish the best for her
rainstorm . . .,in the car the rescued dog,shakes,sballas,2,7,2,rainstorm . . . in the car the rescued dog shakes
I'm going to plan, a trip for myself Create,something for myself,twaiku,4,7,6,I'm going to plan  a trip for myself Create something for myself
We officially, have a running clock in a,state tournament game,twaiku,5,8,7,We officially  have a running clock in a state tournament game
not one dog,answers the siren,...deep winter,herons_nest,4,5,3,not one dog answers the siren ...deep winter
Sorry the person, you are trying to reach no,longer gives a fuck,twaiku,5,7,6,Sorry the person  you are trying to reach no longer gives a fuck
Oh that rugged cross, my salvation Where your love,poured out over me,twaiku,5,9,6,Oh that rugged cross  my salvation Where your love poured out over me
first day of yard work,working out kinks,in the garden hose,modern_haikus,5,4,6,first day of yard work working out kinks in the garden hose
They hate asking for, a manager and see my,little ass coming,twaiku,6,7,5,They hate asking for  a manager and see my little ass coming
I hate sharing good, ideas because people,kept on stealing it,twaiku,6,7,5,I hate sharing good  ideas because people kept on stealing it
had,no if i could,if i should die before i wake,img2poems,1,4,10,had no if i could if i should die before i wake
There are a million, things in the world I want but,all I need is you,twaiku,7,7,5,There are a million  things in the world I want but all I need is you
JESUS FUCKING CHRIST, red velvet finally changed,their goddamn layout,twaiku,5,8,4,JESUS FUCKING CHRIST  red velvet finally changed their goddamn layout
no one listens to, me you're the only one who,has you deserve it,twaiku,6,9,6,no one listens to  me you're the only one who has you deserve it
Your family is, beautiful Thank you I am,glad that you are here,twaiku,5,7,7,Your family is  beautiful Thank you I am glad that you are here
Some nights Allah keeps, you awake because He wants,you to talk to Him,twaiku,6,9,5,Some nights Allah keeps  you awake because He wants you to talk to Him
The forecast said rain, Instead the Sun shone brightly,Through silver lined clouds,twaiku,6,8,6,The forecast said rain  Instead the Sun shone brightly Through silver lined clouds
Sonic Shuffle is, genuinely similar,to diarrhea,twaiku,5,7,3,Sonic Shuffle is  genuinely similar to diarrhea
prends cet apollon,et fais-en bathylle,de bathylle tu feras apollon,img2poems,5,6,10,prends cet apollon et fais-en bathylle de bathylle tu feras apollon
i'm trying out this, thing where people blog about,their life on twitter,twaiku,4,8,6,i'm trying out this  thing where people blog about their life on twitter
Images from the, Davis Democratic Club,Holiday Party,twaiku,5,7,5,Images from the  Davis Democratic Club Holiday Party
Another missed call, in Rupp to enable the,Cats to steal a win,twaiku,6,7,5,Another missed call  in Rupp to enable the Cats to steal a win
jie the winner of, idol producer debut,in group for how long,twaiku,5,7,5,jie the winner of  idol producer debut in group for how long
step dad sneezes Mom, I DON'T LIKE THAT My parents,are funny sometimes,twaiku,5,8,8,step dad sneezes Mom  I DON'T LIKE THAT My parents are funny sometimes
they dull my eyes yet,i keep on dying,because i love to live,img2poems,5,4,9,they dull my eyes yet i keep on dying because i love to live
We need courage to, speak the truth We need Christ to,speak the truth in love,twaiku,6,7,6,We need courage to  speak the truth We need Christ to speak the truth in love
I seriously, doubt Pastor Brunson is sick,of all the winning,twaiku,4,7,5,I seriously  doubt Pastor Brunson is sick of all the winning
Think I'm gonna force, my mom to take me out to,dinner friday lol,twaiku,6,8,5,Think I'm gonna force  my mom to take me out to dinner friday lol
Double standards will, always be here just depends,if you GAF or not,twaiku,5,8,5,Double standards will  always be here just depends if you GAF or not
CONGRATULATIONS, DIANNE YOU WON FAIR AND SQUARE,AND WE LOVE YOU TOO,twaiku,5,8,6,CONGRATULATIONS  DIANNE YOU WON FAIR AND SQUARE AND WE LOVE YOU TOO
Would definitely, fly across the country to,see this masterpiece,twaiku,6,7,6,Would definitely  fly across the country to see this masterpiece
Really need to have, a good day and night tonight,Need this W,twaiku,6,7,2,Really need to have  a good day and night tonight Need this W
hospital vigil,the imperceptible shift,of clouds,sballas,5,7,2,hospital vigil the imperceptible shift of clouds
This world is truly, so lonely but I got me,that's all that matters,twaiku,5,8,5,This world is truly  so lonely but I got me that's all that matters
Sometimes I feel like, a guinea pig whose filled with,existential dread,twaiku,8,9,5,Sometimes I feel like  a guinea pig whose filled with existential dread
i almost forgot, how sore tattoos always are,after you get them,twaiku,5,9,5,i almost forgot  how sore tattoos always are after you get them
I gotta create, innovate or else it's back,to the interstate,twaiku,5,9,6,I gotta create  innovate or else it's back to the interstate
ulysses,and are they just to strangers,hospitable,img2poems,3,8,4,ulysses and are they just to strangers hospitable
I spent my money, on some stupid stuff this year,including others,twaiku,5,8,5,I spent my money  on some stupid stuff this year including others
Hmm might be getting, a tattoo now to figure,out of what and where,twaiku,4,8,6,Hmm might be getting  a tattoo now to figure out of what and where
Im always run out, of luck When doing nothing,also trouble comes,twaiku,5,6,6,Im always run out  of luck When doing nothing also trouble comes
SELFISH PEOPLE They, should live without money to,learn how it feels like,twaiku,5,8,6,SELFISH PEOPLE They  should live without money to learn how it feels like
Ellie can I have, a bite of someone's ginger,nut just a lil taste,twaiku,6,9,6,Ellie can I have  a bite of someone's ginger nut just a lil taste
Okay back to bed, trailer reactions and break,downs for tomorrow,twaiku,5,6,5,Okay back to bed  trailer reactions and break downs for tomorrow
I should've went to, college but I make money,without a degree,twaiku,5,9,5,I should've went to  college but I make money without a degree
If their intention, was to shake things up I guess,they accomplished it,twaiku,5,8,6,If their intention  was to shake things up I guess they accomplished it
I haven't eaten, shit all day I got food now,I'm scared to eat it,twaiku,5,7,6,I haven't eaten  shit all day I got food now I'm scared to eat it
We'd be having a, much different debate if,he crashed a Tesla,twaiku,5,8,6,We'd be having a  much different debate if he crashed a Tesla
I've never been so, eager to travel This week,needs to hurry up,twaiku,6,7,5,I've never been so  eager to travel This week needs to hurry up
you already know, who this is about no names,need to be given,twaiku,5,8,5,you already know  who this is about no names need to be given
Question on a job, are you willing to move Me,in a heartbeat yes,twaiku,5,9,5,Question on a job  are you willing to move Me in a heartbeat yes
Emmerson They are, if they only own it to,ponce about in,twaiku,6,7,5,Emmerson They are  if they only own it to ponce about in
Summers here Time to, restock my Tory flip flops,Who works at Nordstrom,twaiku,7,7,5,Summers here Time to  restock my Tory flip flops Who works at Nordstrom
Someone asked for my, address I cant to receive,flowers tomorrow,twaiku,7,8,5,Someone asked for my  address I cant to receive flowers tomorrow
hey joe hoping this, will be one hell of a new,year for all of us,twaiku,5,8,5,hey joe hoping this  will be one hell of a new year for all of us
Please keep y'all funny, acting ass away from a,real bitch like me PLEASE,twaiku,7,7,7,Please keep y'all funny  acting ass away from a real bitch like me PLEASE
Can my ancestors, come down and slap the dumb bitch,out of me thank you,twaiku,5,8,5,Can my ancestors  come down and slap the dumb bitch out of me thank you
oh but her beauty gone how lonely,then will seem all reverie,how black to me,img2poems,11,7,4,oh but her beauty gone how lonely then will seem all reverie how black to me
My brother really, dropped everything and drove back,because I'm upset,twaiku,5,10,6,My brother really  dropped everything and drove back because I'm upset
Never used to buy, guardian and well now I,will never buy it,twaiku,6,6,5,Never used to buy  guardian and well now I will never buy it
weighing her options,the abandoned,pot of basil,modern_haikus,5,5,4,weighing her options the abandoned pot of basil
sneaking out,thru' the bathroom window,steam meets fog,tempslibre,3,6,3,sneaking out thru' the bathroom window steam meets fog
Me every time, I try to love my life but,then it doesn't work,twaiku,6,9,4,Me every time  I try to love my life but then it doesn't work
do you brother paul,creep under the window close to the wall,and open it suddenly when i call,img2poems,5,11,10,do you brother paul creep under the window close to the wall and open it suddenly when i call
LET ME TRANSLATE THIS, FOR YOU liberals are screwed,and they don't know it,twaiku,6,9,5,LET ME TRANSLATE THIS  FOR YOU liberals are screwed and they don't know it
YOU ARE FIRED FROM, BREATHING Please pack up your desk,and kindly leave LIFE,twaiku,6,8,7,YOU ARE FIRED FROM  BREATHING Please pack up your desk and kindly leave LIFE
It really don't feel, like Christmas just feel like some,regula ole days,twaiku,5,10,6,It really don't feel  like Christmas just feel like some regula ole days
life's just giving me, all the L's today and here,i am takin' em,twaiku,6,7,5,life's just giving me  all the L's today and here i am takin' em
Anxiety stress, and a migraine equals for,a great Friday night,twaiku,4,8,5,Anxiety stress  and a migraine equals for a great Friday night
Today has been such, a good day I'm thriving right,now and I love it,twaiku,5,7,6,Today has been such  a good day I'm thriving right now and I love it
a compensation, is a conservatism,gimlet yet sitting,twaiku,5,6,5,a compensation  is a conservatism gimlet yet sitting
Crescendo and Peak, Spooky Scary Skeletons,I FUCKING LOVE MEMES,twaiku,5,7,7,Crescendo and Peak  Spooky Scary Skeletons I FUCKING LOVE MEMES
Shadows will scream that, I'm alone But I know you've,made it this far kid,twaiku,5,9,6,Shadows will scream that  I'm alone But I know you've made it this far kid
My siblings means da, most to me so I keep em,close to me lil rae,twaiku,5,7,6,My siblings means da  most to me so I keep em close to me lil rae
kendrick lamar my, boy out here casually,winning a grammy,twaiku,5,7,5,kendrick lamar my  boy out here casually winning a grammy
I JUST LEARNED HOLY, CROSS HAS A SMASH INPUT FOR,TWICE THE DISTANCE LOL,twaiku,6,7,7,I JUST LEARNED HOLY  CROSS HAS A SMASH INPUT FOR TWICE THE DISTANCE LOL
I think a person, is my friend but everyday,I get proven wrong,twaiku,5,8,5,I think a person  is my friend but everyday I get proven wrong
Great run Andrew You, didn't take a dip in the,river afterwards,twaiku,5,7,5,Great run Andrew You  didn't take a dip in the river afterwards
You worried about, being lonely I'm worried,about going broke,twaiku,5,7,5,You worried about  being lonely I'm worried about going broke
I Do Not Befriend, Women Who Thinks It's Okay,To Date The Same Men,twaiku,5,7,7,I Do Not Befriend  Women Who Thinks It's Okay To Date The Same Men
loons scattering . . .,a floatplane touches down,into summer,sballas,4,7,4,loons scattering . . . a floatplane touches down into summer
Love and Happiness, are two different things in,a relationship,twaiku,6,8,5,Love and Happiness  are two different things in a relationship
Easy to open, with any hammer Open,it with a hammer,twaiku,5,7,5,Easy to open  with any hammer Open it with a hammer
'tis the whole world whereon they lie,the rocky pastures hung on high,shelve off upon an empty sky,img2poems,9,9,9,'tis the whole world whereon they lie the rocky pastures hung on high shelve off upon an empty sky
Sunday drive --,all the rain clouds,toward home,tempslibre,4,4,4,Sunday drive -- all the rain clouds toward home
i arrange my tie,to hide a stain,misty hollow,tempslibre,6,5,4,i arrange my tie to hide a stain misty hollow
Sorry if I come, across angry In truth I'm,just really angry,twaiku,6,7,5,Sorry if I come  across angry In truth I'm just really angry
In England i think, we arent taking football,serious enough,twaiku,5,7,4,In England i think  we arent taking football serious enough
Someone gift me some, V Bucks need the battle pass,before season ends,twaiku,7,6,6,Someone gift me some  V Bucks need the battle pass before season ends
Be sincere in your, steps and you will be where you,are destined to be,twaiku,6,8,7,Be sincere in your  steps and you will be where you are destined to be
Viola Davis, as Mia Wallace starring,in Jurassic Park,twaiku,4,7,5,Viola Davis  as Mia Wallace starring in Jurassic Park
Hope he is coming, for spring and jump right into,the competition,twaiku,6,7,5,Hope he is coming  for spring and jump right into the competition
Love your video, of Harry Just amazing,keep up the good work,twaiku,5,7,5,Love your video  of Harry Just amazing keep up the good work
Like i just wanna, go home then everybody,irritating me,twaiku,6,9,5,Like i just wanna  go home then everybody irritating me
How many licks does, it take til you get to the,center of the Gooch,twaiku,5,8,5,How many licks does  it take til you get to the center of the Gooch
Stole my electric, blanket back off my little,sister Life is good,twaiku,6,7,6,Stole my electric  blanket back off my little sister Life is good
Said it'd be the, last time all you needed was,a little closure,twaiku,4,8,6,Said it'd be the  last time all you needed was a little closure
fighting Eat lots of, delicious food keep warm and,be happy always,twaiku,5,7,5,fighting Eat lots of  delicious food keep warm and be happy always
I bring breakfast and, lunch to work and a snack My,ass just like to eat,twaiku,5,7,6,I bring breakfast and  lunch to work and a snack My ass just like to eat
I wanna see the, Kings do well just not better,than the Lakers lol,twaiku,5,7,5,I wanna see the  Kings do well just not better than the Lakers lol
ok just hold on, a few minutes the process,will begin shortly,twaiku,4,8,5,ok just hold on  a few minutes the process will begin shortly
Yo Has anyone, tried Rocket League This game is,pretty fun to play,twaiku,5,9,5,Yo Has anyone  tried Rocket League This game is pretty fun to play
there's something about, hearing I'm proud of you that,makes me so happy,twaiku,7,7,6,there's something about  hearing I'm proud of you that makes me so happy
Zion has the look, and focus of a man on,a mission right now,twaiku,4,7,5,Zion has the look  and focus of a man on a mission right now
catch me lint rolling, the shit out of my black clothes,for this interview,twaiku,5,8,5,catch me lint rolling  the shit out of my black clothes for this interview
Can't even do it, bro Don't cry just let it be,and keep succeeding,twaiku,5,7,5,Can't even do it  bro Don't cry just let it be and keep succeeding
Gone all fucking week, and have yet to get one call,or text about work,twaiku,6,9,5,Gone all fucking week  and have yet to get one call or text about work
late afternoon light,through the window blinds??,a drift of leaves,sballas,6,5,5,late afternoon light through the window blinds?? a drift of leaves
Ops I always said, what I want to said Pardon,my cat attitude,twaiku,5,7,6,Ops I always said  what I want to said Pardon my cat attitude
I love that classic, salsa I'll listen to that,over anything,twaiku,6,7,5,I love that classic  salsa I'll listen to that over anything
Son got shorty AND, the kid on the outside that's,not how we do it,twaiku,5,8,5,Son got shorty AND  the kid on the outside that's not how we do it
So are we dating, or fucking what because I,have NO idea,twaiku,6,8,5,So are we dating  or fucking what because I have NO idea
you're Lebron hate is, stupid Completely done with,your one sided trash,twaiku,7,9,6,you're Lebron hate is  stupid Completely done with your one sided trash
stone wall?,between two rocks,a bleeding heart,sballas,3,4,4,stone wall? between two rocks a bleeding heart
There is nothing good, in me except Jesus Christ,I'm ok with that,twaiku,6,7,4,There is nothing good  in me except Jesus Christ I'm ok with that
I'm never gonna, say goodbye Cos I never,wanna see u cry,twaiku,5,7,5,I'm never gonna  say goodbye Cos I never wanna see u cry
Yep everything will, be spun like a misleading,investors meeting,twaiku,6,8,5,Yep everything will  be spun like a misleading investors meeting
I really want to, go to Nissan stadium,for the draft party,twaiku,5,6,5,I really want to  go to Nissan stadium for the draft party
but alas,what holy angel,brings the slave this glad evangel,img2poems,3,5,9,but alas what holy angel brings the slave this glad evangel
I have been looking, for that audio on you,tube and can't find it,twaiku,6,6,6,I have been looking  for that audio on you tube and can't find it
I just got Henry's, newsletter LOL I'd like to,learn how to budget,twaiku,5,8,5,I just got Henry's  newsletter LOL I'd like to learn how to budget
Ordering Chinese, from a new place is always,a scary venture,twaiku,6,8,6,Ordering Chinese  from a new place is always a scary venture
I have a pretty, prom dress that I bought that I,don't need anymore,twaiku,6,7,6,I have a pretty  prom dress that I bought that I don't need anymore
one night i sat beauty down on my lap,and i found her galling,and i roughed her up,img2poems,11,6,6,one night i sat beauty down on my lap and i found her galling and i roughed her up
My mom is always, on some Facebook drama Why,are parents like this,twaiku,5,9,7,My mom is always  on some Facebook drama Why are parents like this
I really die at, the dumbest shit coz why am,I dying at this,twaiku,5,7,4,I really die at  the dumbest shit coz why am I dying at this
ok this mess is, what i expected from a,flyers pens series,twaiku,4,7,4,ok this mess is  what i expected from a flyers pens series
empty bleachers,a sparrow takes a dust bath,behind home plate,sballas,4,8,6,empty bleachers a sparrow takes a dust bath behind home plate
I have this weekend, next weekend request off but,I forgot what for,twaiku,6,7,5,I have this weekend  next weekend request off but I forgot what for
I brought you with me when I,left my father’s house; Now I am,taking you back with me again.,gutenberg,7,9,8,I brought you with me when I left my father’s house; Now I am taking you back with me again.
requiem mass -,flecks of dust drift,in stifling air,tempslibre,3,4,4,requiem mass - flecks of dust drift in stifling air
I'm teaching Kindred, too in my American,Literature class,twaiku,5,7,6,I'm teaching Kindred  too in my American Literature class
I never asked for, a perfect woman I just,wanted a real one,twaiku,6,7,6,I never asked for  a perfect woman I just wanted a real one
Ok so i lost, another follower i,guess y'all some pussies,twaiku,4,7,7,Ok so i lost  another follower i guess y'all some pussies
Still thinking about, Bohemian Rhapsody,such a great movie,twaiku,5,6,5,Still thinking about  Bohemian Rhapsody such a great movie
Your circle could be, as tight as virgins but how,tight is y'all really,twaiku,5,7,6,Your circle could be  as tight as virgins but how tight is y'all really
Should've went to the, city too probably go,for the Russ concert,twaiku,5,7,5,Should've went to the  city too probably go for the Russ concert
my mom is nicer, to bray than she is me and,i am over it,twaiku,5,7,5,my mom is nicer  to bray than she is me and i am over it
okay sorry but, i need this zach hug more than,anything right now,twaiku,5,8,5,okay sorry but  i need this zach hug more than anything right now
Gary Busey and, Donald Trump are on the same,stable genius wave,twaiku,5,9,6,Gary Busey and  Donald Trump are on the same stable genius wave
Of silk embroidery one,can do an inch a day; Of plain,"sewing, more than five feet.",gutenberg,8,8,8,"Of silk embroidery one can do an inch a day; Of plain sewing, more than five feet."
Roman villa,opens its door,over the empty,haikuzao,4,4,5,Roman villa opens its door over the empty
Mama life had just, begun But now I've gone and,thrown it all away,twaiku,6,9,5,Mama life had just  begun But now I've gone and thrown it all away
The tour promoters, for good things were hired from,a cereal box,twaiku,5,8,4,The tour promoters  for good things were hired from a cereal box
cold rain,barbed wire in the middle,of an oak,sballas,2,8,3,cold rain barbed wire in the middle of an oak
a tiny world,unfolds and thrives -,summer rain,tempslibre,4,5,3,a tiny world unfolds and thrives - summer rain
I was about to, fall asleep then my boss bought,us all Peet's Coffee,twaiku,5,7,5,I was about to  fall asleep then my boss bought us all Peet's Coffee
Proud of myself for, making it through the toughest,exam season yet,twaiku,5,7,5,Proud of myself for  making it through the toughest exam season yet
I identify, myself as half Latino,and half neurotic,twaiku,5,7,5,I identify  myself as half Latino and half neurotic
im FINALLY home, which means i can finally,touch myself fuck yeah,twaiku,6,7,5,im FINALLY home  which means i can finally touch myself fuck yeah
Great night beautiful, morning and a extra check,always a good vibe,twaiku,5,7,6,Great night beautiful  morning and a extra check always a good vibe
Maybe you should read, shout Germany in the next,days but now Good Night,twaiku,5,7,5,Maybe you should read  shout Germany in the next days but now Good Night
Has TV shows has, been decline ratings shows means,tv is dying,twaiku,3,8,2,Has TV shows has  been decline ratings shows means tv is dying
Everyone is a, hypocrite at some point at,least TRY not to be,twaiku,6,9,5,Everyone is a  hypocrite at some point at least TRY not to be
Y'all should watch Searching, The movie makes you think and,analyze a lot,twaiku,6,8,6,Y'all should watch Searching  The movie makes you think and analyze a lot
You blazon me,with jewelled,insignia.,gutenberg,4,4,3,You blazon me with jewelled insignia.
Everyone should find, their peace or happy place and,always nourish it,twaiku,6,9,5,Everyone should find  their peace or happy place and always nourish it
He better get the, Ballon d'Or this year I don't,even know whose close,twaiku,5,7,7,He better get the  Ballon d'Or this year I don't even know whose close
Check me out turning, down offers to do hard drugs,I'm proud of myself,twaiku,5,7,5,Check me out turning  down offers to do hard drugs I'm proud of myself
or the white goose waw-be-wawa,with the water dripping flashing,from its glossy neck and feathers,img2poems,10,8,8,or the white goose waw-be-wawa with the water dripping flashing from its glossy neck and feathers
She'll always be the, one I want no matter how,comes into my life,twaiku,5,8,7,She'll always be the  one I want no matter how comes into my life
Can't believe we were, losing to the browns there for,a hot sec who dat,twaiku,7,8,5,Can't believe we were  losing to the browns there for a hot sec who dat
last light,through barn slats,the runt of the litter,herons_nest,2,3,6,last light through barn slats the runt of the litter
A LUCAS FOLLOWED, ME I REPEAT A FUCKING,LUCAS FOLLOWED ME,twaiku,6,7,6,A LUCAS FOLLOWED  ME I REPEAT A FUCKING LUCAS FOLLOWED ME
"BEAUTY was there, Pale",in her black; dry-eyed; she,stood alone.,gutenberg,7,6,4,"BEAUTY was there, Pale in her black; dry-eyed; she stood alone."
Sometimes you want to, explain what you feel but words,are never enough,twaiku,7,7,6,Sometimes you want to  explain what you feel but words are never enough
Y'all passing the puck, too much Opposing teams know,what you're gonna do,twaiku,6,7,6,Y'all passing the puck  too much Opposing teams know what you're gonna do
Best kept secret in, Florida Colleges take,notice just saying,twaiku,5,8,5,Best kept secret in  Florida Colleges take notice just saying
Awful Putin did, this to Charlie and killed his,girlfriend Dawn Sturgess,twaiku,5,8,5,Awful Putin did  this to Charlie and killed his girlfriend Dawn Sturgess
Can't even go back, to sleep naw shouldn't of went,to sleep so early,twaiku,5,6,5,Can't even go back  to sleep naw shouldn't of went to sleep so early
going on my old, phone so I can tell you guys,something over on,twaiku,4,8,6,going on my old  phone so I can tell you guys something over on
Anybody who, brings the photographer free,beer gets a nice vote,twaiku,5,7,7,Anybody who  brings the photographer free beer gets a nice vote
u ever make a, joke while u have a fever,and only u laugh,twaiku,6,10,5,u ever make a  joke while u have a fever and only u laugh
like vanessa loved, kobe that's the kind of love,you gotta show me,twaiku,7,8,5,like vanessa loved  kobe that's the kind of love you gotta show me
I jus wanna shoot, some hoops and get some run in,my work schedule tho,twaiku,5,9,6,I jus wanna shoot  some hoops and get some run in my work schedule tho
Seeing so many, people upset and in a,bad mood makes me hurt,twaiku,4,7,6,Seeing so many  people upset and in a bad mood makes me hurt
a magnetic silence,made a ripple,in a muscle of presence,img2poems,7,5,8,a magnetic silence made a ripple in a muscle of presence
I'm bout to really, go to the library for,a damn peace of mind,twaiku,5,7,6,I'm bout to really  go to the library for a damn peace of mind
how long until I, give up on having plans and,just order takeout,twaiku,5,8,5,how long until I  give up on having plans and just order takeout
Only thing I can, think Austin for is he brought,me friends and new bands,twaiku,5,7,5,Only thing I can  think Austin for is he brought me friends and new bands
epilogue n The, close of a narrative or,dramatic poem,twaiku,5,9,4,epilogue n The  close of a narrative or dramatic poem
I'm not doing the, best for everyone I'm not,the best I'm sorry,twaiku,4,8,5,I'm not doing the  best for everyone I'm not the best I'm sorry
this is cute until, you pluck the wrong spot and he,bites your nipple off,twaiku,6,7,6,this is cute until  you pluck the wrong spot and he bites your nipple off
As I struggle,with a heavy gate . . .,the crescent moon,tempslibre,4,6,4,As I struggle with a heavy gate . . . the crescent moon
Just because it's not, happening right now doesn't,mean it never will,twaiku,6,6,5,Just because it's not  happening right now doesn't mean it never will
wow I am learning, a lot these last few weeks thanks,for this video,twaiku,5,8,4,wow I am learning  a lot these last few weeks thanks for this video
The sky can never, be the limit when there are,footprints on the moon,twaiku,5,9,5,The sky can never  be the limit when there are footprints on the moon
If my boyfriend tells, you he's my boyfriend don't ask,to work out with him,twaiku,5,7,5,If my boyfriend tells  you he's my boyfriend don't ask to work out with him
Styles Harry baby, happy birthday I love you,very very much,twaiku,6,8,5,Styles Harry baby  happy birthday I love you very very much
dying embers?,nodding off to the sound,of tree frogs,sballas,3,6,3,dying embers? nodding off to the sound of tree frogs
Don't expect to make, a difference unless you,speak up for yourself,twaiku,6,8,5,Don't expect to make  a difference unless you speak up for yourself
honestly though like, he's such a vocalist wow,fuck simon cowell,twaiku,6,7,5,honestly though like  he's such a vocalist wow fuck simon cowell
back then we slept watched tv,we were the dogs,by the time the screen door slammed we were gone,img2poems,6,5,14,back then we slept watched tv we were the dogs by the time the screen door slammed we were gone
Thank you for sharing, this you are incredible,Congratulations,twaiku,5,8,5,Thank you for sharing  this you are incredible Congratulations
The feeling you get, when you make a list and start,to cross items off,twaiku,5,8,5,The feeling you get  when you make a list and start to cross items off
Is me saying I, couldn't care less if you're gay,homophobic too,twaiku,4,8,5,Is me saying I  couldn't care less if you're gay homophobic too
falling in love is, so easy but falling out,of love is so hard,twaiku,6,7,6,falling in love is  so easy but falling out of love is so hard
ebb tide beach,so much to be treasured,left behind,sballas,4,7,3,ebb tide beach so much to be treasured left behind
Chippings Of,precious stones lay,strewn about.,gutenberg,3,5,3,Chippings Of precious stones lay strewn about.
They're all sexist They, think I'm racist There are so,many mexicans,twaiku,6,9,5,They're all sexist They  think I'm racist There are so many mexicans
Please play Stop Crying, your Heart Out in Dublin I'll,love you forever,twaiku,5,7,6,Please play Stop Crying  your Heart Out in Dublin I'll love you forever
Welp a patient called, me ugly today Happy,Monday Everyone,twaiku,6,7,6,Welp a patient called  me ugly today Happy Monday Everyone
mo bamba has got, to be the most annoying,song i've ever heard,twaiku,5,6,6,mo bamba has got  to be the most annoying song i've ever heard
Obviously if, you do not hear your name you,are not important,twaiku,4,8,6,Obviously if  you do not hear your name you are not important
I HAVE FINALLY, FOUND A THIN MINTS PLUG TO HOOK,ME UP LIFE IS GOOD,twaiku,6,7,6,I HAVE FINALLY  FOUND A THIN MINTS PLUG TO HOOK ME UP LIFE IS GOOD
